bill_number,title,doc_num,proponents,opponents,no_position,total_slips,witness_slip_url
HB0001,,1,28,275,3,306,https://www.ilga.gov/legislation/witnessslip.asp?DocNum=1&DocTypeID=HB&LegID=&GAID=16&SessionID=110&GA=102&SpecSess=
HB0002,,2,0,0,0,0,https://www.ilga.gov/legislation/witnessslip.asp?DocNum=2&DocTypeID=HB&LegID=&GAID=16&SessionID=110&GA=102&SpecSess=
HB0003,,3,8,7,0,15,https://www.ilga.gov/legislation/witnessslip.asp?DocNum=3&DocTypeID=HB&LegID=&GAID=16&SessionID=110&GA=102&SpecSess=
HB0004,,4,32,41,2,75,https://www.ilga.gov/legislation/witnessslip.asp?DocNum=4&DocTypeID=HB&LegID=&GAID=16&SessionID=110&GA=102&SpecSess=
HB0005,,5,181,13,0,194,https://www.ilga.gov/legislation/witnessslip.asp?DocNum=5&DocTypeID=HB&LegID=&GAID=16&SessionID=110&GA=102&SpecSess=
HB0006,,6,19,0,0,19,https://www.ilga.gov/legislation/witnessslip.asp?DocNum=6&DocTypeID=HB&LegID=&GAID=16&SessionID=110&GA=102&SpecSess=
HB0007,,7,3528,721,8,4257,https://www.ilga.gov/legislation/witnessslip.asp?DocNum=7&DocTypeID=HB&LegID=&GAID=16&SessionID=110&GA=102&SpecSess=
HB0008,,8,2,10,1,13,https://www.ilga.gov/legislation/witnessslip.asp?DocNum=8&DocTypeID=HB&LegID=&GAID=16&SessionID=110&GA=102&SpecSess=
HB0009,,9,313,1417,10,1740,https://www.ilga.gov/legislation/witnessslip.asp?DocNum=9&DocTypeID=HB&LegID=&GAID=16&SessionID=110&GA=102&SpecSess=
HB0010,,10,14,1,0,15,https://www.ilga.gov/legislation/witnessslip.asp?DocNum=10&DocTypeID=HB&LegID=&GAID=16&SessionID=110&GA=102&SpecSess=
HB0011,,11,7,1,0,8,https://www.ilga.gov/legislation/witnessslip.asp?DocNum=11&DocTypeID=HB&LegID=&GAID=16&SessionID=110&GA=102&SpecSess=
HB0012,,12,48,4,0,52,https://www.ilga.gov/legislation/witnessslip.asp?DocNum=12&DocTypeID=HB&LegID=&GAID=16&SessionID=110&GA=102&SpecSess=
HB0013,,13,11,5,1,17,https://www.ilga.gov/legislation/witnessslip.asp?DocNum=13&DocTypeID=HB&LegID=&GAID=16&SessionID=110&GA=102&SpecSess=
HB0014,,14,9,0,0,9,https://www.ilga.gov/legislation/witnessslip.asp?DocNum=14&DocTypeID=HB&LegID=&GAID=16&SessionID=110&GA=102&SpecSess=
HB0015,,15,6,2,2,10,https://www.ilga.gov/legislation/witnessslip.asp?DocNum=15&DocTypeID=HB&LegID=&GAID=16&SessionID=110&GA=102&SpecSess=
HB0016,,16,88,1,1,90,https://www.ilga.gov/legislation/witnessslip.asp?DocNum=16&DocTypeID=HB&LegID=&GAID=16&SessionID=110&GA=102&SpecSess=
HB0017,,17,56,319,4,379,https://www.ilga.gov/legislation/witnessslip.asp?DocNum=17&DocTypeID=HB&LegID=&GAID=16&SessionID=110&GA=102&SpecSess=
HB0018,,18,15,1,0,16,https://www.ilga.gov/legislation/witnessslip.asp?DocNum=18&DocTypeID=HB&LegID=&GAID=16&SessionID=110&GA=102&SpecSess=
HB0019,,19,4,0,1,5,https://www.ilga.gov/legislation/witnessslip.asp?DocNum=19&DocTypeID=HB&LegID=&GAID=16&SessionID=110&GA=102&SpecSess=
HB0020,,20,1,2,0,3,https://www.ilga.gov/legislation/witnessslip.asp?DocNum=20&DocTypeID=HB&LegID=&GAID=16&SessionID=110&GA=102&SpecSess=
HB0021,,21,6,1,0,7,https://www.ilga.gov/legislation/witnessslip.asp?DocNum=21&DocTypeID=HB&LegID=&GAID=16&SessionID=110&GA=102&SpecSess=
HB0022,,22,3,8,0,11,https://www.ilga.gov/legislation/witnessslip.asp?DocNum=22&DocTypeID=HB&LegID=&GAID=16&SessionID=110&GA=102&SpecSess=
HB0023,,23,2,0,0,2,https://www.ilga.gov/legislation/witnessslip.asp?DocNum=23&DocTypeID=HB&LegID=&GAID=16&SessionID=110&GA=102&SpecSess=
HB0024,,24,58,75,2,135,https://www.ilga.gov/legislation/witnessslip.asp?DocNum=24&DocTypeID=HB&LegID=&GAID=16&SessionID=110&GA=102&SpecSess=
HB0025,,25,740,44,2,786,https://www.ilga.gov/legislation/witnessslip.asp?DocNum=25&DocTypeID=HB&LegID=&GAID=16&SessionID=110&GA=102&SpecSess=
